age,tenure_months,income,household_size,logins_30d,support_tickets_90d,avg_session_mins,days_since_last_login,monthly_fee,late_payments_12m,autopay,contract,plan,add_ons,streaming,region,signup_channel,total_charges,total_charges_rounded,engagement_score,churn
32,81,89507.29059700215,6,9,0,3.3334043425732953,47,81.17460812804084,0,No,Two year,Plus,5,Both,Midwest,Web,6822.303892310673,6820.0,-0.06098634155067245,1
54,88,32442.543932593933,1,12,0,39.83583361141548,19,50.09481412902261,0,No,Month-to-month,Basic,2,Music,Northeast,Partner,4449.790509267229,4450.0,0.4810772967060142,0
47,27,30880.5922430672,6,13,0,13.195110958593324,27,81.83586003854509,2,No,Month-to-month,Pro,2,Both,South,Web,2323.697106651149,2320.0,0.26232767992023626,1
64,43,52677.387394458674,1,14,1,25.801885602407598,14,73.54053899868232,1,Yes,Two year,Basic,0,Music,West,Partner,3150.0767670007795,3150.0,0.3182764376535788,1
25,101,59560.726948445874,3,12,2,4.690483706857496,40,51.73567267399697,3,No,Month-to-month,Plus,0,None,Midwest,Web,5190.357211532365,5190.0,0.13847398140753042,1
69,73,45591.01594099474,6,14,2,26.42123652037592,36,81.49125123128086,0,No,Month-to-month,Plus,3,Music,South,Web,6125.628395232303,6130.0,0.32720721968950134,1
40,102,16523.622617406847,3,15,1,13.677760759852434,28,55.07966154129751,0,No,One year,Basic,5,Music,West,Web,5912.454346491321,5910.0,0.36970918573318423,0
72,96,52511.05409835332,3,9,2,16.270042305183015,26,78.81946056178086,1,Yes,Month-to-month,Plus,5,Both,West,Retail,7591.846780941658,7590.0,0.19392189471263754,0
61,78,51140.74173084813,2,6,0,5.542210419754088,1,61.463161430451386,2,No,Month-to-month,Basic,2,Video,Midwest,Phone,4766.04285816608,4770.0,0.2385031870742848,1
28,3,25372.98896789673,4,19,0,7.848254404875505,16,53.453483259487754,0,Yes,One year,Basic,3,Video,South,Retail,211.31319529509318,210.0,0.4006527964546159,0
77,47,105304.44065053985,6,9,1,33.37101295016122,45,67.01711973629617,0,No,One year,Basic,5,Music,West,Web,3300.271402423531,3300.0,0.2805884020240408,0
77,69,64374.15490140417,6,12,3,11.158715313059384,33,60.100082888091166,1,Yes,Month-to-month,Pro,4,None,South,Web,4252.2637170913495,4250.0,0.2322748964408994,1
27,70,52914.017626275374,4,14,2,30.738535118750363,11,74.6459955604938,2,Yes,Two year,Pro,0,Both,South,Partner,5400.754327928985,5400.0,0.49836670262944516,0
61,41,,1,6,1,56.8853955519137,42,40.199737851651555,0,Yes,Two year,Plus,2,Both,South,Partner,1601.6236885413243,1600.0,0.17637925440764463,0
27,26,28436.958247577444,5,10,4,,57,85.88338347590138,1,Yes,Month-to-month,Plus,1,Both,West,Web,2333.85215650456,2330.0,0.23251555120983125,1
38,90,24857.273478708754,2,16,1,28.75934657235418,7,67.90177116899164,2,Yes,One year,Plus,4,Video,Midwest,Web,6277.061183980634,6280.0,0.5379023459057996,0
19,95,40878.4447604375,6,17,0,16.395134208711518,5,85.33199381877122,1,Yes,Month-to-month,Basic,0,,,Partner,8065.126514641022,8070.0,0.4850415026852994,0
58,99,,6,18,0,16.20912541580383,26,69.41718551162506,1,Yes,Two year,Basic,1,None,South,Partner,6898.624440229445,6900.0,0.22535945424645096,1
19,77,47559.612358375074,2,15,2,,27,66.44959185792813,1,Yes,Month-to-month,Basic,5,Both,Midwest,Phone,5192.735393158015,5190.0,0.22799901691847274,0
59,85,60883.82895932067,2,5,0,11.897689195572973,9,64.63747132245209,2,Yes,One year,Basic,5,Both,South,Web,5705.994363597942,5710.0,0.13253493875487293,0
79,114,63374.031900974886,2,8,0,5.273028543151056,1,62.03707403843926,2,Yes,Month-to-month,Basic,5,Music,South,Web,7082.022061619467,7080.0,0.29422732278142044,0
32,92,37798.01034839439,6,14,0,13.408212163124091,41,82.86567312187105,0,Yes,Two year,Pro,3,Both,Northeast,Retail,7504.166398344313,7500.0,0.24924265935844045,0
18,10,,2,13,0,43.450174073447215,20,75.80294726815578,0,Yes,Month-to-month,Plus,3,Music,Midwest,Retail,897.7713478465708,900.0,0.4092328085103263,0
56,15,39946.544582480194,4,12,2,17.68513460565317,14,51.049883989202655,1,Yes,One year,Plus,1,Both,South,Web,660.449894387786,660.0,0.3643337910776354,1
75,114,47415.50393317597,3,6,1,6.212892211689823,25,71.34263303687797,3,Yes,Month-to-month,Basic,4,Video,Midwest,Retail,8327.787752278487,8330.0,0.05859265799238082,0
22,60,25321.818947565032,4,14,4,6.597222189309742,36,50.13261900600935,1,Yes,Month-to-month,Basic,4,Video,Midwest,Partner,2861.997853328891,2860.0,0.14590791268916473,0
50,76,,1,10,1,13.881759275700679,26,76.29380708935615,0,Yes,Month-to-month,Basic,1,Video,South,Web,5771.378254134964,5770.0,0.1776751944192105,1
67,12,33085.4138669863,3,13,0,24.09719422032778,28,77.90424054118905,1,No,Month-to-month,Plus,2,None,South,Web,1084.5403695646467,1080.0,0.254834344950974,0
29,51,25168.367108994385,5,15,3,17.069635007841313,54,69.53065503577312,1,Yes,Month-to-month,Pro,1,Both,Northeast,Retail,3552.9531786315297,3550.0,0.22869222943056877,0
53,56,35884.69466661602,2,14,4,14.995666046579807,26,84.60925051554442,1,No,Two year,Plus,1,Music,South,Phone,4966.974912361601,4970.0,0.3333872428723437,0
49,39,27377.755362696604,2,15,2,13.714146490167064,7,63.57566544237811,0,Yes,Month-to-month,Pro,3,Music,Midwest,Web,2646.8366233648976,2650.0,0.35176202627238284,1
38,109,27761.10961830948,5,12,1,8.143852186375673,24,87.77686993124631,2,Yes,Two year,Plus,4,None,South,Phone,9815.218263513298,9820.0,0.09896918396411447,0
34,78,16062.508647340846,5,9,1,19.280179702619364,21,70.9698386878691,1,Yes,Two year,Basic,2,Both,Northeast,Web,5685.961597507724,5690.0,0.2188361345588265,1
26,21,23731.83189068659,1,12,2,7.97131015948734,25,76.81999978226735,1,Yes,Month-to-month,Pro,1,Music,West,Web,1802.7345550760888,1800.0,0.18568702909958806,0
41,52,39364.2911449663,4,14,2,9.135188672165949,41,99.72415851657018,1,No,Month-to-month,Basic,1,Video,Midwest,Partner,5455.674536387861,5460.0,0.19298975763001108,1
56,111,34920.04748021962,1,11,1,28.49792715781773,41,45.266227829547965,1,Yes,Month-to-month,Basic,1,Music,South,Web,4936.690175786651,4940.0,0.285464712952136,0
42,69,61447.79828295708,6,11,2,4.110565090910323,33,61.09619345356234,0,No,One year,Basic,4,,South,Web,4383.033555283439,4380.0,0.17595935864888684,0
66,86,49066.33278536985,4,11,1,16.05893356210915,47,134.09562415244932,1,No,One year,Pro,2,Video,South,Web,11419.058778260358,11420.0,0.30040489178693036,0
58,96,30122.18025680629,1,16,0,46.1768473952446,38,65.0876618661683,1,No,Month-to-month,Basic,3,Both,West,Web,6392.810802918675,6390.0,0.38861347067586677,1
77,80,38928.204806402195,6,8,2,8.709504806949814,38,81.3897721563902,0,Yes,One year,Basic,2,Both,Northeast,Retail,6499.34825602688,6500.0,-0.04222450715105418,0
47,37,61070.698519485435,5,10,1,24.747351077953805,17,87.41594951468305,0,Yes,One year,Basic,0,Video,South,Partner,3246.177321108458,3250.0,0.35049579702737915,0
36,76,28657.951188119358,2,14,1,3.555830115451601,40,63.77574433950112,1,Yes,One year,Plus,2,Music,South,Web,4914.117118098214,4910.0,0.19631971939316625,0
20,5,,6,13,0,20.93070064710432,0,88.73040726207785,1,Yes,Month-to-month,Basic,2,Music,South,Web,464.04073868791954,460.0,0.43445301637801514,1
69,110,23163.459136557834,4,11,0,26.032964089521737,21,65.83392526229649,0,No,One year,Basic,2,,West,Phone,7500.175690134707,7500.0,0.26273871021717804,0
54,81,33136.852089885484,5,10,0,2.3826379938201194,51,59.67754593993325,0,Yes,Month-to-month,Basic,2,Video,Northeast,Retail,4784.825154913265,4780.0,0.06126075205941256,1
31,78,76349.12519311134,2,9,2,19.206218577549325,21,49.33316176871044,1,No,One year,Basic,4,Music,West,Web,3672.9895102249716,3670.0,0.32721578345047464,0
73,104,78279.79460359765,4,6,1,7.575606566025183,17,51.924826204295414,1,No,Two year,Basic,5,Video,South,Web,5542.01751857915,5540.0,0.04840845168888759,0
38,23,25269.289770437754,2,5,1,28.944681889805985,48,54.927978284738344,0,Yes,Month-to-month,Basic,1,None,Northeast,Web,1507.2340570177255,1510.0,0.13009533045677718,0
71,96,46438.74545058394,6,12,0,19.771746008830473,32,84.50658659143639,1,No,Month-to-month,Plus,1,Video,West,Web,8243.707766557112,8240.0,0.2831633919668377,0
79,26,32161.587497537603,3,14,3,28.039751353339103,45,67.14389193395634,1,Yes,One year,Basic,4,Both,West,Web,1958.5702646089876,1960.0,0.3244534272797133,1
77,49,27902.88052137516,4,14,1,8.548919923951967,7,83.25028802436557,0,Yes,Two year,Basic,3,Both,South,Web,4259.270825885233,4260.0,0.36781699475053437,0
62,80,29028.92153099251,6,10,1,16.190251447225116,2,48.11062709145956,0,Yes,Two year,Plus,4,Both,West,Web,3839.5296824083853,3840.0,0.3684526842161875,0
38,24,43862.86355064977,1,11,0,8.585281690070232,14,63.196399386094505,0,No,Month-to-month,Plus,1,Music,Northeast,Phone,1666.8403401618498,1670.0,0.21147919559506345,1
67,51,27170.54956040988,1,18,1,30.82483478274005,32,79.00351344022427,0,No,Month-to-month,Plus,5,Video,South,Web,4103.484105283681,4100.0,0.5164453651625228,0
65,52,32408.53293518492,6,13,0,11.706094872346574,2,84.97478585915837,1,Yes,One year,Plus,2,Both,West,Web,4521.065214312864,4520.0,0.26263032233952055,1
19,89,32843.692999370665,5,12,3,5.044026175883621,10,54.002501664884804,1,Yes,Month-to-month,Basic,2,None,Midwest,Partner,4801.6009003337185,4800.0,0.22146475089708278,0
70,110,18928.918575428594,5,15,1,30.696235619126337,59,47.21669209533995,1,No,Month-to-month,Basic,1,Video,South,Partner,5201.945333246937,5200.0,0.2573587518550414,1
44,59,94161.919630071,3,10,1,20.89619701524532,55,64.28643155226115,1,No,One year,Basic,1,Both,West,Partner,3995.7938597568964,4000.0,0.19901961967268703,0
60,47,39054.63852783418,6,10,1,3.6520497331544997,11,70.69042985832886,1,No,Month-to-month,Basic,1,None,Northeast,Web,3260.6161286723277,3260.0,0.18380471541215782,1
59,38,20092.227321197646,3,15,1,2.900662530497773,33,56.59113654426591,0,No,Two year,Basic,3,Both,South,Web,2113.7969347516732,2110.0,0.20213347082849845,1
25,4,58224.53974459679,6,14,3,15.460898900625155,26,55.69642002975404,0,Yes,Month-to-month,Basic,3,None,Midwest,Web,242.10043844716813,240.0,0.2502924138523389,1
54,71,77975.08682069814,6,8,1,20.758022223415498,31,11.055251144521172,1,No,Month-to-month,Plus,5,Music,Midwest,Web,762.7935491543851,760.0,0.15950215875032808,0
37,73,46967.324058251404,4,9,1,8.712309675933474,36,83.06838882290039,1,Yes,Month-to-month,Plus,5,Both,South,Web,6024.928499990746,6020.0,0.15533672667783058,0
58,60,41486.69822845684,6,9,3,16.36141748537703,51,69.98270356595933,1,Yes,Two year,Plus,2,Both,West,Retail,4200.507813900574,4200.0,0.14825296586281952,1
38,64,52454.32736637333,1,12,1,6.944881697194825,37,48.48510810954948,1,Yes,Month-to-month,Plus,3,Music,South,Retail,3211.9358882400493,3210.0,0.14157600876044518,0
70,107,42523.897601219476,6,12,0,3.4755603922456286,36,,2,Yes,Two year,Basic,4,Music,,Phone,8004.004709738254,8000.0,0.11702712785339549,1
64,107,,2,12,1,9.473318847355449,32,80.7265825037546,1,Yes,Month-to-month,Basic,2,Both,West,Retail,8776.717431792287,8780.0,0.24591690895382767,0
38,27,,1,8,0,36.33541397756385,11,43.57248388016549,0,No,Month-to-month,Basic,2,Video,South,Web,1302.340737734863,1300.0,0.41151477120695157,1
71,22,81434.38257767262,3,10,1,9.562671132425479,35,73.12075302903595,0,Yes,Month-to-month,Pro,5,Music,Midwest,Web,1668.8677626721803,1670.0,0.165009161778718,1
39,11,31437.468916426347,5,11,0,17.63114730221427,5,63.239463438201966,0,Yes,Two year,Pro,0,Music,South,Web,610.3492058568797,610.0,0.35055210941526427,1
72,36,76629.31543025468,4,9,2,9.256746449308412,49,68.53725429521099,0,Yes,Two year,Basic,3,Both,South,Retail,2569.131626504179,2570.0,0.1567291200885566,0
64,117,33019.36070312554,4,15,0,,23,93.12719295977601,2,Yes,Month-to-month,Basic,3,Video,West,Retail,10809.263845127118,10810.0,0.20042143399510182,1
33,94,29695.573095095435,5,19,2,8.785259157194107,44,75.5824152043418,0,Yes,Month-to-month,Basic,1,Music,South,Retail,7034.797716056041,7030.0,0.23886637487895318,1
64,81,73954.78794251151,4,7,1,44.523535127059525,7,66.78573847156302,0,No,Month-to-month,Plus,4,Video,Midwest,Retail,5383.017468627349,5380.0,0.41113629060507706,0
19,0,39798.97673420535,6,16,0,28.897822172005228,8,80.06103059540122,0,No,Two year,Plus,1,Both,Northeast,Web,148.9030154726496,150.0,0.6293607960631279,1
49,67,52576.711142842934,6,11,2,11.416413745587404,6,71.42979078992637,0,No,One year,Plus,4,None,Northeast,Partner,4982.748820945089,4980.0,0.3747741446196854,1
30,108,32835.95623683858,2,22,1,32.10840897238526,50,47.48314022038893,0,No,One year,Basic,1,Video,Midwest,Partner,5263.858625277149,5260.0,0.405005001034322,1
22,99,28960.44452983163,6,21,2,21.873587616335747,23,94.04827025168117,2,No,Month-to-month,Plus,3,Both,South,Web,9442.520933037558,9440.0,0.4016938118831486,1
35,11,42909.035197072626,4,12,4,11.015923425942773,42,47.89575870989522,0,No,Month-to-month,Basic,5,Both,West,Phone,453.8798326067415,450.0,0.25634345994770347,1
60,58,24266.85023404106,1,8,0,27.8328687656477,45,74.94103948867864,0,Yes,Month-to-month,Basic,2,Music,South,Web,4332.794145009414,4330.0,0.2135942849756303,0
20,103,59160.47172948015,5,8,0,28.868998315077683,57,21.482794322701736,0,Yes,Month-to-month,Basic,4,Music,Midwest,Web,2221.2143074432665,2220.0,0.20593356390445455,0
32,110,48087.84304510824,5,10,0,4.268631426396693,10,92.63015144575435,1,No,Month-to-month,Plus,4,Video,South,Retail,10230.653454134062,10230.0,0.22505853467478493,1
51,96,22004.88139760567,4,18,1,20.603286478070533,6,43.977446560895174,1,Yes,Month-to-month,Basic,3,Both,South,Web,4311.10191666104,4310.0,0.511186657382573,0
62,116,73260.25125883837,6,15,1,14.851123862980437,20,75.01626634116818,1,Yes,Month-to-month,Pro,0,None,West,Web,8843.149083511847,8840.0,0.22717971420989164,0
65,88,43382.433019301774,3,14,1,7.28623693132049,22,77.35006443085413,2,Yes,One year,Basic,2,Music,South,Retail,6970.371122274394,6970.0,0.24924447015164342,0
57,116,64209.55922900267,1,9,0,10.992446668084437,9,78.66223718268107,0,Yes,Month-to-month,Basic,5,Video,West,Web,9165.721492253646,9170.0,0.3401998690686283,0
53,88,41427.4048835595,5,13,1,30.351834144969157,27,54.20451623152355,1,No,One year,Basic,5,Video,South,Web,4873.975939892382,4870.0,0.3695749217370202,1
68,61,,2,14,2,19.800096167315782,10,87.12173022961925,0,Yes,Month-to-month,Basic,4,Music,Northeast,Partner,5475.61166665093,5480.0,0.44896815351259967,0
46,96,40509.67881846405,1,9,1,2.2729975097301884,43,120.3752938745547,1,No,Month-to-month,Plus,1,Music,Midwest,Web,11535.912195714636,11540.0,0.05559805478531335,0
23,26,45622.22202338429,6,15,1,28.602114138661587,16,66.6316580609967,0,No,Month-to-month,Pro,5,None,Midwest,Phone,1871.457748528425,1870.0,0.5392034166730568,0
25,7,60562.39615563485,4,13,1,33.91022413321949,0,40.07480809120757,0,Yes,Two year,Pro,1,None,West,Partner,392.9690223523256,390.0,0.5565736536859571,0
33,9,55707.13831569121,1,17,2,2.753555002105852,15,50.67765475862194,2,Yes,Month-to-month,Basic,2,Music,,Web,583.4443303374223,580.0,0.27930090983067984,0
49,45,81485.65585957145,3,15,0,14.41026224003516,6,84.47540273278574,0,Yes,One year,Basic,1,Both,Northeast,Web,3820.4137526394443,3820.0,0.42444457196667645,0
50,79,118144.70867559579,2,8,0,35.08297851378791,44,162.92154121491112,1,No,Month-to-month,Basic,2,None,West,Retail,4335.021509615769,4340.0,0.2023657026793631,1
39,19,36421.23142786476,6,11,3,20.250553225852954,46,67.29016488454289,1,No,Month-to-month,Pro,2,Both,South,Web,1368.9712359223693,1370.0,0.23981659834562977,0
43,39,49801.2825488143,4,7,2,19.173116509691777,37,74.78027271345813,0,Yes,Month-to-month,Basic,0,Music,Midwest,Web,2887.0502556081688,2890.0,0.14965551679801814,1
59,1,38896.11316891163,3,9,0,8.97430702598222,43,83.6101911622267,2,Yes,Month-to-month,Basic,1,Both,Northeast,Web,158.91666968420807,160.0,0.16878691322843892,0
18,79,23918.582703283126,4,13,2,12.07451755726907,43,65.22037973427543,0,Yes,Month-to-month,Basic,2,Music,South,Partner,4954.599700825274,4950.0,0.24830990927746266,1
30,65,80709.1617220851,2,16,1,27.286161960261776,52,73.30242689098993,0,No,Month-to-month,Basic,0,Music,Northeast,Retail,4835.068243955647,4840.0,0.32826244947998173,1
25,51,31613.965930782313,1,11,3,16.75809649893245,17,,0,No,Two year,Pro,2,Both,Midwest,Web,3302.0445017103243,3300.0,0.32529078894421026,0
26,116,54584.68972091135,1,13,1,8.872908828156408,56,81.27376093877479,0,No,Month-to-month,Basic,5,Video,Northeast,Web,9548.233668783463,9550.0,0.07107527291750818,0
52,38,37919.79783071391,6,10,0,16.20107281510025,40,94.29645827989219,0,No,Month-to-month,Plus,3,Video,South,Web,3646.798162368272,3650.0,0.22526292000461598,0
55,73,19712.410726577422,2,16,0,32.264439064557116,42,65.08640811679106,2,No,Two year,Basic,3,Both,West,Web,4859.085392552787,4860.0,0.4117678572084449,1
51,59,52881.48952552825,5,11,1,23.637397719655958,34,76.70779418750485,0,Yes,Two year,Plus,4,Both,Northeast,Partner,4645.609196551928,4650.0,0.15847004844676152,0
26,103,31404.476945916045,6,6,1,16.699115778871068,1,57.1181668665692,0,Yes,Month-to-month,Pro,0,Video,Midwest,Web,5758.073176762827,5760.0,0.1903274638022664,0
70,13,60746.0956172162,1,15,3,9.241684755556882,0,59.39461182516997,0,No,Month-to-month,Pro,2,Music,West,Web,773.0403886187742,770.0,0.4874526265015754,1
70,52,71106.68007959817,1,12,4,4.067650900364289,47,112.72071529092352,3,No,Two year,Pro,2,None,South,Retail,5947.514273660487,5950.0,0.13286840864633706,0
69,6,46422.47994544445,3,13,2,48.66277605615596,28,34.779935834596316,0,No,Month-to-month,Basic,5,Both,Northeast,Retail,228.90163610931947,230.0,0.4746809628514615,0
62,91,25287.485806839297,2,8,1,4.232299108777773,26,73.22126098117562,2,Yes,Month-to-month,Basic,0,Video,Midwest,Web,6649.779109565736,6650.0,0.12197579818568284,0
21,100,59301.78235036045,1,20,1,,40,75.7102862500115,0,Yes,Two year,Plus,3,Music,West,Retail,7503.275503534126,7500.0,0.27642390027819636,0
76,100,73190.70485019736,4,14,1,13.415486150094905,16,53.94061029666628,1,No,Month-to-month,Basic,4,Video,Midwest,Web,5308.20719332096,5310.0,0.2675757796874364,0
22,116,16300.303929136764,1,14,1,46.608396185523134,53,87.36704084568821,1,Yes,Month-to-month,Basic,3,None,Midwest,Web,10201.720407640372,10200.0,0.4335941229911714,0
38,52,,1,14,2,3.7356017144336766,52,82.92000541021535,1,Yes,Month-to-month,Plus,0,Video,South,Web,4227.049886754967,4230.0,0.08233173282716943,0
62,71,30247.794644191075,2,9,3,16.032278576188162,17,87.90256254278626,2,No,Month-to-month,Basic,1,Both,South,Web,6288.326784539462,6290.0,0.26408072698925,0
43,90,25742.817399946773,5,8,1,42.845584272398945,31,77.75583022460789,0,Yes,One year,Pro,2,Both,West,Retail,7045.991608375368,7050.0,0.2753493046685829,0
37,117,41608.94739273893,6,11,2,12.76995662182162,49,101.03844236553488,0,Yes,One year,Pro,0,None,Midwest,Web,12101.615242573605,12100.0,0.13627778381075942,0
22,13,28033.86964122298,2,14,1,14.961711331267916,9,66.62792077724345,0,Yes,Month-to-month,Plus,5,Both,South,Partner,1154.2318086462883,1150.0,0.37365814639025774,1
34,20,54493.703752051675,6,13,0,5.051310735213825,20,78.22121200628106,1,Yes,Month-to-month,Pro,2,Video,Northeast,Web,1710.2573610519576,1710.0,0.2309137335585355,1
71,44,18880.383585791806,3,7,3,10.167234556549497,15,21.76376226349268,1,No,Month-to-month,Pro,4,Music,Northeast,Web,1094.6683849826431,1090.0,0.12660446683001297,1
23,74,56104.9655959638,1,11,1,39.51552753291551,28,48.253739099559596,0,Yes,Month-to-month,Plus,4,Music,Northeast,Partner,3521.760786671542,3520.0,0.3631084081998327,0
38,93,18290.440217668558,2,6,3,15.902900783437016,33,65.88295960286801,0,No,Month-to-month,Plus,4,Both,Northeast,Retail,6088.044155283853,6090.0,0.2033727553297702,0
53,109,23048.712689834818,5,11,1,4.70568101782328,12,56.22039372745601,0,No,Month-to-month,Plus,0,Both,West,Partner,6109.5939078316405,6110.0,0.30982472963204716,0
72,31,21924.919367535935,5,16,1,33.42840207426076,47,82.18598513101189,1,Yes,Month-to-month,Basic,2,Video,Midwest,Partner,2559.182046300243,2560.0,0.34915001800844075,0
67,0,29624.337634922784,4,21,0,8.58303717402367,53,69.70797547560339,1,Yes,Month-to-month,Plus,3,None,Midwest,Retail,51.416493816210675,50.0,0.29176561592058525,0
76,26,13096.791620515887,6,10,1,16.831828832948567,49,52.04438194822835,1,Yes,One year,Basic,3,None,Northeast,Web,1402.2113804416133,1400.0,0.19507744486388998,1
20,62,79380.86128873272,4,15,3,17.118464299407762,49,72.08448582298543,0,Yes,Two year,Basic,4,Music,Midwest,Retail,4631.32522597836,4630.0,0.227899398859035,0
36,48,34813.43437414148,4,18,0,5.978803391160138,57,68.89642747687357,1,Yes,Two year,Basic,0,Both,West,Partner,3327.5493700798447,3330.0,0.2873212966883968,0
40,96,,4,5,0,4.798780134447582,49,55.60602833388673,1,No,Two year,Pro,1,None,Midwest,Web,5458.152643427981,5460.0,-0.13755367149140818,0
53,68,30970.795510393105,5,10,2,22.563972373057727,49,79.49340671160819,3,No,One year,Basic,2,Video,West,Web,5443.113505777446,5440.0,0.21525391268309965,1
31,15,204972.48075114764,6,8,1,19.43558504699686,37,185.90386717004364,2,Yes,Month-to-month,Plus,3,Music,Northeast,Retail,913.9935392525333,910.0,0.144168424383004,1
24,56,53239.86598576268,2,15,0,33.250432714959324,6,69.63281508575017,0,Yes,Month-to-month,Basic,3,Music,West,Web,3999.688693034543,4000.0,0.6143552430882785,0
58,79,34422.36219482921,2,13,1,17.1841157663492,43,76.38771421238656,1,No,One year,Pro,4,Music,Northeast,Partner,6113.846766917155,6110.0,0.2854497087165271,1
34,112,,4,12,2,25.117269788369324,12,45.42121354128926,1,Yes,Month-to-month,Pro,5,Video,South,Web,5146.139244588505,5150.0,0.36142381919687533,0
40,11,,5,17,2,36.389282487787355,14,82.30966114725724,1,Yes,One year,Basic,0,None,South,Web,859.509068435499,860.0,0.464584966716586,0
66,33,,1,12,1,42.36512099270887,33,58.76852164456418,0,Yes,One year,Plus,3,Video,South,Web,2165.0654768470285,2170.0,0.32195103794408253,0
54,58,33554.958015434066,4,12,1,14.344995915156746,18,77.32142938402386,0,Yes,Two year,Pro,1,None,Northeast,Web,4545.1676392874915,4550.0,0.30071428948748763,0
79,79,46259.40036625166,3,16,1,14.62820456762417,6,70.25290009482431,0,Yes,Two year,Basic,2,Video,Northeast,Web,5647.2110799942475,5650.0,0.5273439184015059,0
40,17,30106.69528572184,5,14,0,13.441562552450373,41,112.64048711810867,0,No,Month-to-month,Plus,2,Both,South,Retail,1923.4492750902166,1920.0,0.20281505635968602,0
76,1,18123.59955441135,1,15,0,10.504889502653997,20,57.13158329409538,1,No,One year,Pro,3,None,Northeast,Partner,0.26926429655505046,0.0,0.33703424918198255,0
30,87,60172.154622780305,6,6,1,12.089481313387992,3,66.10954345566157,1,Yes,One year,Plus,4,None,South,Web,5879.342953129075,5880.0,0.23462275981218292,0
67,82,46193.63323618875,2,11,0,27.77614306267609,36,32.76330510568188,1,No,Month-to-month,Pro,5,Video,Midwest,Web,2565.0092364078,2570.0,0.33674992025833894,0
29,4,27605.775165133004,6,16,0,,35,77.2392965977605,2,Yes,Month-to-month,Plus,3,Both,Northeast,Web,388.4518120805167,390.0,0.41341267473957577,1
57,55,45394.90758990707,6,15,2,15.786038782714078,45,67.0435457946475,1,No,One year,Basic,0,Music,Midwest,Phone,3890.3282136746207,3890.0,0.2908782260789743,1
